id,category,name,latitude,longitude,rating,numberOfReviews,lowerPrice,upperPrice,rawRanking,website,cuisine,features,phone,locationString,source
7043952,hotel,Ocean View Nyali Boutique Hotel,-4.024306,39.72435,3.0,31,2965.0,4002.0,2.913853168487549,,N/A,"Wifi, Pool, Internet, Kids Activities, Room service, Free Internet, Free parking, Restaurant, Bar/Lounge, Free Wifi, Laundry Service, Outdoor pool, Housekeeping, BBQ Facilities, 24-Hour Front Desk, Ironing Service, Outdoor Furniture, Secured Parking",+254 728 555237,"Mombasa, Coast Province",Mombasa
10410833,hotel,The Shaza,-3.966389,39.75778,4.0,75,20308.0,23570.0,3.2567641735076904,https://www.facebook.com/103727439013837/,N/A,"Pool, Suites, Room service, Free Internet, Free parking, Restaurant, Kitchenette, Public Wifi, Concierge, Air conditioning, Microwave, Refrigerator in room, Conference Facilities, Poolside Bar, Bath / Shower, English, Internet, Kids Activities, Wheelchair access, Bar/Lounge, Airport transportation, Meeting rooms, Hot Tub, Laundry Service, Non-smoking hotel, Safe, Breakfast Available, Bathrobes, Desk, Complimentary Toiletries, French, Italian, Kitchenware, Seating Area, Telephone, Wake Up Service / Alarm Clock",+254 799 213821,"Mombasa, Coast Province",Mombasa
1786990,hotel,Tembo Village Resort Watamu,-3.3512,40.017815,4.0,122,3706.0,5929.0,3.2043566703796387,http://www.tembovillage.com,N/A,"Pool, Restaurant, Internet, Suites, Room service, Free Internet, Free parking, Bar/Lounge, Wifi, Free Wifi, Breakfast included",+254 721 980840,"Watamu, Coast Province",Watamu
17426361,hotel,Lemon Valley Farm Estate,-0.377193,36.25075,4.0,10,12155.0,16158.0,3.1144795417785645,https://lemonvalley.co.ke/,N/A,"Pool, Kids Activities, Suites, Room service, Free parking, Restaurant, Bar/Lounge, Pets Allowed, Kitchenette, Airport transportation, Free Wifi, Meeting rooms, Hot Tub, Laundry Service, Concierge, Family Rooms, Microwave, Refrigerator in room, Conference Facilities, Babysitting, Private Balcony, Kids pool, Adult pool, Outdoor pool, Breakfast Available, Parking, Housekeeping, Archery, Baggage Storage, Bath / Shower, Bathrobes, BBQ Facilities, Bicycle Rental, Bicycles Available, Blackout Curtains, Books, DVDs, Music for Children, Bottled Water, 24-Hour Check-in, Children's Playground, Clothes Rack, Coffee / Tea Maker, Convenience Store, Couples Massage, Darts, Desk, Electric Kettle, English, Extra Long Beds, Facial Treatments, Fireplace, First Aid Kit, Foot Bath, Foot Massage, Complimentary Instant Cofffee, Complimentary Toiletries, Complimentary Welcome Drink, Full Body Massage, Gift Shop, Hand Massage, Head Massage, Highchairs Available, Hiking, Horseback Riding, Ironing Service, Kids' Meals, Kids' Outdoor Play Equipment, Kitchenware, Landmark View, Laptop Safe, Manicure, Massage, Mosquito Net, Outdoor Dining Area, Outdoor Fireplace, Outdoor Furniture, Oven, Pedicure, Picnic Area, Pool / Beach Towels, Pool View, Pool with View, Private Bathrooms, 24-Hour Security, Secured Parking, Shared Kitchen, Shared Lounge / TV Area, Sofa Bed, Special Diet Menus, Stovetop, Sun Loungers / Beach Chairs, Taxi Service, Wine / Champagne, Yoga Room",+254 720 879139,"Nakuru, Rift Valley Province",Nakuru
20155481,hotel,Merinja Guesthouse,-0.72566,36.43653,5.0,4,8449.0,11266.0,3.104138135910034,https://www.facebook.com/pages/category/Hotel/Merinja-Guesthouse-2104310253214621/,N/A,,+254 727 534847,"Naivasha, Rift Valley Province",Naivasha
1929088,hotel,Entumoto Safari Camp,-1.5602,35.391266,5.0,316,121109.0,203083.0,4.724902153015137,https://www.entumoto.com/,N/A,"Pool, Internet, Free Internet, Restaurant, Bar/Lounge, Airport transportation, Breakfast included, Laundry Service, Family Rooms, Multilingual Staff, Safe, Outdoor pool, Bath / Shower, Bottled Water, Desk, English, Outdoor Fireplace, Private Check-in / Check-out, 24-Hour Security, Free parking, Wifi, Non-smoking rooms, Concierge, Poolside Bar, Private Balcony, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Kids Stay Free, Sauna, Allergy-free Room, Archery, Baggage Storage, Bathrobes, BBQ Facilities, Bicycles Available, Blackout Curtains, Board Games / Puzzles, Breakfast in the Room, Cable / Satellite TV, Car Hire, Express Check-in / Check-out, Children's Playground, Clothes Rack, Coffee / Tea Maker, Couples Massage, Electric Kettle, Entertainment Staff, Evening Entertainment, Executive Lounge Access, Extra Long Beds, Facial Treatments, First Aid Kit, Fitness Classes, Free Private Parking Nearby, Complimentary Toiletries, Complimentary Welcome Drink, Free Wifi in the Business Center, 24-Hour Front Desk, Full Body Massage, Gift Shop, Hiking, Horseback Riding, Interconnected room(s) available, Kids' Meals, Kid-Friendly Buffet, Laptop Safe, Massage, On-Demand Movies, Outdoor Dining Area, Outdoor Furniture, Pool / Beach Towels, Pool with View, Seating Area, Secured Parking, Shared Lounge / TV Area, Special Diet Menus, Sun Deck, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Swahili, Umbrella, Wake Up Service / Alarm Clock, Walk-in Shower, Walking Tours, Yoga Classes",011254713400903,"Maasai Mara National Reserve, Rift Valley Province",
12077138,hotel,"The ONE, Watamu Bay",-3.319844,40.07294,4.0,97,12007.0,16899.0,3.455864191055298,https://www.theonewatamubay.com/,N/A,"Pool, Beachfront, Free parking, Restaurant, Bar/Lounge, Wifi, Banquet Room, Internet, Kids Activities, Suites, Room service, Free Internet, Spa, Airport transportation, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Golf course, Non-smoking rooms, Tennis Court, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Family Rooms, Multilingual Staff, Conference Facilities, Babysitting, Safe, Breakfast Buffet, Poolside Bar, Private Balcony, Kids pool, Adult pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Kids Club, Aerobics, Archery, Archery Off-site, Badminton, Baggage Storage, Bath / Shower, BBQ Facilities, Bicycle Rental, Bidet, Billiards, Board Games / Puzzles, Body Wrap, Bottled Water, Bowling Off-site, Canoeing Off-site, 24-Hour Check-in, Express Check-in / Check-out, Children's Television Networks, Children's Playground, Couples Massage, Currency Exchange, Darts, Desk, Diving, English, Entertainment Staff, Evening Entertainment, Facial Treatments, Fishing, Foot Bath, Foot Massage, Complimentary Toiletries, Complimentary Welcome Drink, Free Wifi in the Business Center, French, 24-Hour Front Desk, Full Body Massage, Game Room, German, Gift Shop, Hair Dryer, Hand Massage, Happy Hour, Head Massage, Highchairs Available, Hot Spring Bath, Indoor Play Area for Children, Iron, Ironing Service, Italian, Karaoke, Kids' Meals, Kid-Friendly Buffet, Kids' Outdoor Play Equipment, Landmark View, Makeup Services, Manicure, Massage, Neck Massage, Newspaper, Nightclub / DJ, Outdoor Dining Area, Outdoor Furniture, Pedicure, Pool / Beach Towels, Pool View, Pool with View, Private Bathrooms, Private Check-in / Check-out, Seating Area, 24-Hour Security, Shared Lounge / TV Area, Shops, Snack Bar, Snorkeling, Sofa, Sofa Bed, Special Diet Menus, Sun Deck, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Swahili, Swimming Pool Toys, Table Tennis, Taxi Service, Telephone, Tennis Court Off-site, Umbrella, Wake Up Service / Alarm Clock, Wardrobe / Closet, Waxing Services, Wine / Champagne, Photo Copier / Fax In Business Center, Beach Access",+254 727 777477,"Watamu, Coast Province",Watamu
17819702,hotel,Palm Garden Boutique Hotel,-3.378241,39.981876,4.5,27,14824.0,19271.0,3.318544149398804,http://www.palmgardenkenya.com,N/A,"Pool, Internet, Suites, Free Internet, Restaurant, Bar/Lounge, Wifi, Kids Activities, Beachfront, Room service, Airport transportation, Breakfast included, Golf course, Non-smoking rooms, Laundry Service, Air conditioning, Family Rooms, Refrigerator in room, Minibar, Babysitting, Safe, Flatscreen TV, Breakfast Buffet, Private Balcony, Adult pool, Outdoor pool, Breakfast Available, Housekeeping, Additional Bathroom, Bathrobes, BBQ Facilities, Boating, Books, DVDs, Music for Children, Breakfast in the Room, Bridal Suite, Cable / Satellite TV, Canoeing Off-site, Car Hire, 24-Hour Check-in, Currency Exchange, Desk, Dining Area, Diving, English, Extra Long Beds, First Aid Kit, Fitness / Spa Locker Rooms, 24-Hour Front Desk, German, Gift Shop, Highchairs Available, Ironing Service, Italian, Outdoor Dining Area, Pool View, Private Bathrooms, Seating Area, Separate Dining Area, Separate Living Room, Shared Lounge / TV Area, Shoeshine, Snorkeling, Sofa, Sun Terrace, Sun Umbrellas, Wake Up Service / Alarm Clock, Wardrobe / Closet, Windsurfing, Wine / Champagne, Beach Access",+254 703 845153,"Watamu, Coast Province",Watamu
2589851,hotel,Woodmere Serviced Apartments,-1.264413,36.792976,4.0,108,4299.0,5336.0,3.4423460960388184,http://www.woodmerenairobi.com,N/A,"Free parking, Kitchenette, Pool, Internet, Free Internet, Wifi, Free Wifi, Refrigerator in room, Suites, Room service, Bar/Lounge, Airport transportation, Hot Tub, Non-smoking rooms, Fitness center, Laundry Service, Family Rooms, Multilingual Staff, Microwave, Non-smoking hotel, Safe, Heated pool, Outdoor pool, Sauna, Afrikaans, Bath / Shower, BBQ Facilities, Clothes Rack, Desk, English, 24-Hour Front Desk, Ironing Service, Kitchenware, Snack Bar, Swahili",011254733939730,Nairobi,Nairobi
2218249,hotel,Boma Inn Nairobi,-1.32428,36.833202,4.0,217,6078.0,9635.0,3.865549087524414,https://www.theboma.co.ke/inn-nairobi/,N/A,"Internet, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Airport transportation, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Conference Facilities, Breakfast Buffet, Shuttle Bus Service, Suites, Wifi, Public Wifi, Breakfast included, Banquet Room, Accessible rooms, Non-smoking hotel, Flatscreen TV, Breakfast Available",+254 719 050000,Nairobi,Nairobi
