id,name,latitude,longitude,rating,numberOfReviews,lowerPrice,upperPrice,rawRanking,website,cuisine,features,phone,locationString,town,category,has_website,province,average_price,combined_features,user_id
8557182,Imperial Lounge,-1.29,36.82,2.5,2,29647.0,148236.0,2.832927942276001,No Website,"Italian, Indian, Contemporary",seating,+254 770 496613,Nairobi,nairobi,restaurant,0,Nairobi,88941.5,"seating Italian, Indian, Contemporary nairobi Imperial Lounge restaurant",0
19049362,Lazeez,-1.456,36.977,5.0,1,14875.0,148236.0,3.027514934539795,http://Www.fb.com/lazeezkenya,Kenyan,seating,+254 702 323594,"Kitengela, Rift Valley Province",kitengela,restaurant,1,Rift Valley Province,81555.5,seating Kenyan kitengela Lazeez restaurant,0
14095423,Java House,-1.329,36.715,5.0,1,22235.0,222354.0,3.02848744392395,http://www.javahouseafrica.com,Diner,seating,+254 796 841537,"Karen, Nairobi",karen,restaurant,1,Nairobi,122294.5,seating Diner karen Java House restaurant,0
15319108,Bean Plant coffee and more,-1.29,36.82,3.5,12,14875.0,148236.0,3.028462648391724,http://www.facebook.com/beanplantkenya/,"Cafe, European","seating, wheelchair accessible, serves alcohol, full bar, wine and beer, table service, seating",+254 791 989342,Nairobi,nairobi,restaurant,1,Nairobi,81555.5,"seating, wheelchair accessible, serves alcohol, full bar, wine and beer, table service, seating Cafe, European nairobi Bean Plant coffee and more restaurant",0
14140515,Java House Airport View,-1.29,36.82,3.0,9,22235.0,222354.0,2.9779114723205566,https://www.javahouseafrica.com/our-locations/,"Mexican, African, Cafe, Diner, Healthy",seating,+254 746 622266,Nairobi,nairobi,restaurant,1,Nairobi,122294.5,"seating Mexican, African, Cafe, Diner, Healthy nairobi Java House Airport View restaurant",0
23092811,Tamz Restaurant Launge & Bar,-1.368,36.948,3.0,2,741.0,4447.0,2.964430809020996,No Website,"American, African, Fast Food, Barbecue, Beer restaurants","delivery, takeout, reservations, outdoor seating, buffet, private dining, seating, parking available, free off-street parking, wheelchair accessible, serves alcohol, wine and beer, cash only, free wifi, accepts credit cards, table service, live music, playgrounds, seating",+254 720 446120,"Syokimau, Eastern Province",syokimau,restaurant,0,Eastern Province,2594.0,"delivery, takeout, reservations, outdoor seating, buffet, private dining, seating, parking available, free off-street parking, wheelchair accessible, serves alcohol, wine and beer, cash only, free wifi, accepts credit cards, table service, live music, playgrounds, seating American, African, Fast Food, Barbecue, Beer restaurants syokimau Tamz Restaurant Launge & Bar restaurant",0
1155827,Pampa at Savanah,-1.29,36.82,4.5,3,14875.0,148236.0,3.0271220207214355,No Website,Kenyan,seating,No Phone Number,Nairobi,nairobi,restaurant,0,Nairobi,81555.5,seating Kenyan nairobi Pampa at Savanah restaurant,0
20259702,Secret Ingredients,-1.29,36.82,4.0,1,14875.0,148236.0,3.015636920928955,https://secretingredientslimited.com/,Kenyan,seating,+254 720 800844,Nairobi,nairobi,restaurant,1,Nairobi,81555.5,seating Kenyan nairobi Secret Ingredients restaurant,0
10467675,Pride Lounge,-1.29,36.82,3.0,47,14875.0,148236.0,3.027290105819702,http://www.kenya-airways.com/prepare-for-travel/manage-booking/kq-lounges/en,Kenyan,"wheelchair accessible, seating, serves alcohol, seating",+254 741 777270,Nairobi,nairobi,restaurant,1,Nairobi,81555.5,"wheelchair accessible, seating, serves alcohol, seating Kenyan nairobi Pride Lounge restaurant",0
18157567,Sukim Restaurant,-1.29,36.82,4.0,1,14875.0,148236.0,3.01450514793396,No Website,Kenyan,seating,+254 722 866689,Nairobi,nairobi,restaurant,0,Nairobi,81555.5,seating Kenyan nairobi Sukim Restaurant restaurant,0
